suite,dataset,budget,seed,method,n_entities,n_sources,n_records,n_attacked_records,description,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall
external_tabular,mpg,0.2,21,majority,234,12,2121,332,plotnine automobile fuel-economy table with real categorical and numeric vehicle attributes,0.9920634920634921,0.9920634920634921,0.07076934435912581,0.8219373219373219,0.9321325551388472,0.1336999519999722,234.0,1.0,1.0,1.0,0.0,0.0,0.004444831793620359,0.011265935369107619,0.9849379799173066,0.9887340646308924
external_tabular,mpg,0.2,21,iterative_truth,234,12,2121,332,plotnine automobile fuel-economy table with real categorical and numeric vehicle attributes,0.9993894993894994,0.9993894993894994,0.0041223666075999215,0.8333333333333334,0.9960466711826663,0.32844509699998525,234.0,1.0,1.0,1.0,0.0,0.0,0.0002614606937423741,0.0005929439667951378,0.9991108476585655,0.9994070560332049
external_tabular,mpg,0.2,21,dependency_truth,234,12,2121,332,plotnine automobile fuel-economy table with real categorical and numeric vehicle attributes,0.996947496947497,0.996947496947497,0.01643576491435322,0.8333333333333334,0.9842381842141243,0.5868714990000399,234.0,1.0,1.0,1.0,0.0,0.0,0.0011329963395502877,0.0023717758671805513,0.9961515689757253,0.9976282241328195
external_tabular,mpg,0.2,21,parc,234,12,2121,332,plotnine automobile fuel-economy table with real categorical and numeric vehicle attributes,0.9975579975579976,0.9975579975579976,0.0165431187241583,0.8333333333333334,0.9841352324511321,0.6772342769999682,234.0,1.0,1.0,1.0,0.0,0.0,0.0008715356458079135,0.0020753038837829827,0.9970379146919431,0.997924696116217
external_tabular,txhousing,0.2,21,no_repair,300,12,2695,425,"plotnine Texas housing market table with city, month, sales, volume, and listings",0.43761904761904763,0.43761904761904763,1.1965639412917553,0.3188888888888889,0.0,0.1610680420000108,300.0,1.0,1.0,1.0,0.0,0.0,0.5236860068259386,0.29323843416370104,0.2796920476950521,0.7067615658362989
external_tabular,txhousing,0.2,21,majority,300,12,2695,425,"plotnine Texas housing market table with city, month, sales, volume, and listings",0.9923809523809524,0.9923809523809524,0.038647507786967975,0.7022222222222223,0.9677012598714567,0.22765681900000345,300.0,1.0,1.0,1.0,0.0,0.0,0.004232081911262798,0.011387900355871887,0.9853393237171908,0.9886120996441281
external_tabular,txhousing,0.2,21,iterative_truth,300,12,2695,425,"plotnine Texas housing market table with city, month, sales, volume, and listings",1.0,1.0,0.0,0.7111111111111111,1.0,0.6424371340000334,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
external_tabular,txhousing,0.2,21,dependency_truth,300,12,2695,425,"plotnine Texas housing market table with city, month, sales, volume, and listings",0.9995238095238095,0.9995238095238095,0.0,0.7111111111111111,1.0,0.7381525600000032,300.0,1.0,1.0,1.0,0.0,0.0,0.00013651877133105802,0.0007117437722419929,0.9995253915519696,0.999288256227758
external_tabular,txhousing,0.2,21,parc,300,12,2695,425,"plotnine Texas housing market table with city, month, sales, volume, and listings",0.9995238095238095,0.9995238095238095,0.0,0.7111111111111111,1.0,0.7910053759999869,300.0,1.0,1.0,1.0,0.0,0.0,0.00013651877133105802,0.0007117437722419929,0.9995253915519696,0.999288256227758
external_tabular,midwest,0.2,21,no_repair,300,12,2695,425,plotnine Midwest county demographics table,0.43952380952380954,0.43952380952380954,1.1672704676093704,0.3111111111111111,0.0,0.13509145999995553,300.0,1.0,1.0,1.0,0.0,0.0,0.5208632110906235,0.2901468498342018,0.28209713855421686,0.7098531501657982
external_tabular,midwest,0.2,21,majority,300,12,2695,425,plotnine Midwest county demographics table,0.9942857142857143,0.9942857142857143,0.02952305604892538,0.6722222222222223,0.9747076133011485,0.1787628729999824,300.0,1.0,1.0,1.0,0.0,0.0,0.0030048487331830907,0.01113216485078162,0.9895709883858734,0.9888678351492184
external_tabular,midwest,0.2,21,iterative_truth,300,12,2695,425,plotnine Midwest county demographics table,1.0,1.0,0.0,0.6811111111111111,1.0,0.43389667299999246,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
external_tabular,midwest,0.2,21,dependency_truth,300,12,2695,425,plotnine Midwest county demographics table,1.0,1.0,0.0,0.6811111111111111,1.0,0.6711153080000258,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
external_tabular,midwest,0.2,21,parc,300,12,2695,425,plotnine Midwest county demographics table,1.0,1.0,0.0,0.6811111111111111,1.0,0.6994975150000187,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
