dataset,budget,method,query,seed_mean,seed_std,query_l1_distortion_mean,query_l1_distortion_std,runtime_sec_mean,runtime_sec_std,n_entities_mean,n_entities_std
midwest,0.2,iterative_truth,selection_groupby,21.0,,0.0,,0.43389667299999246,,300.0,
midwest,0.2,majority,category_join_filter,21.0,,0.01476152802446269,,0.1787628729999824,,300.0,
midwest,0.2,majority,geo_join_groupby,21.0,,0.011705038597177106,,0.1787628729999824,,300.0,
midwest,0.2,majority,having_top_groups,21.0,,0.0,,0.1787628729999824,,300.0,
midwest,0.2,majority,selection_groupby,21.0,,0.02952305604892538,,0.1787628729999824,,300.0,
midwest,0.2,no_repair,category_join_filter,21.0,,0.8410033039824436,,0.13509145999995553,,300.0,
midwest,0.2,no_repair,geo_join_groupby,21.0,,0.6408143301833242,,0.13509145999995553,,300.0,
midwest,0.2,no_repair,having_top_groups,21.0,,4.825005304353586,,0.13509145999995553,,300.0,
midwest,0.2,no_repair,selection_groupby,21.0,,1.1672704676093704,,0.13509145999995553,,300.0,
midwest,0.2,parc,category_join_filter,21.0,,0.0,,0.6994975150000187,,300.0,
midwest,0.2,parc,geo_join_groupby,21.0,,0.0,,0.6994975150000187,,300.0,
midwest,0.2,parc,having_top_groups,21.0,,0.0,,0.6994975150000187,,300.0,
midwest,0.2,parc,selection_groupby,21.0,,0.0,,0.6994975150000187,,300.0,
mpg,0.2,dependency_truth,category_join_filter,21.0,,0.009581561330970663,,0.5868714990000399,,234.0,
mpg,0.2,dependency_truth,geo_join_groupby,21.0,,0.0029420653671982672,,0.5868714990000399,,234.0,
mpg,0.2,dependency_truth,having_top_groups,21.0,,0.008966283776770577,,0.5868714990000399,,234.0,
mpg,0.2,dependency_truth,selection_groupby,21.0,,0.01643576491435322,,0.5868714990000399,,234.0,
mpg,0.2,iterative_truth,category_join_filter,21.0,,0.0020611833037999607,,0.32844509699998525,,234.0,
mpg,0.2,iterative_truth,geo_join_groupby,21.0,,0.0,,0.32844509699998525,,234.0,
mpg,0.2,iterative_truth,having_top_groups,21.0,,0.0,,0.32844509699998525,,234.0,
mpg,0.2,iterative_truth,selection_groupby,21.0,,0.0041223666075999215,,0.32844509699998525,,234.0,
mpg,0.2,majority,category_join_filter,21.0,,0.035384672179562905,,0.1336999519999722,,234.0,
mpg,0.2,majority,geo_join_groupby,21.0,,0.0,,0.1336999519999722,,234.0,
mpg,0.2,majority,having_top_groups,21.0,,0.030152579317025915,,0.1336999519999722,,234.0,
mpg,0.2,majority,selection_groupby,21.0,,0.07076934435912581,,0.1336999519999722,,234.0,
mpg,0.2,no_repair,category_join_filter,21.0,,0.7975254602283914,,0.1041228650000221,,234.0,
mpg,0.2,no_repair,geo_join_groupby,21.0,,0.5719259819846426,,0.1041228650000221,,234.0,
mpg,0.2,no_repair,having_top_groups,21.0,,1.136825000864962,,0.1041228650000221,,234.0,
mpg,0.2,no_repair,selection_groupby,21.0,,1.042758343177791,,0.1041228650000221,,234.0,
mpg,0.2,parc,category_join_filter,21.0,,0.009688915140775743,,0.6772342769999682,,234.0,
mpg,0.2,parc,geo_join_groupby,21.0,,0.0028347115573931878,,0.6772342769999682,,234.0,
