dataset,budget,method,seed_mean,seed_std,n_entities_mean,n_entities_std,n_sources_mean,n_sources_std,n_records_mean,n_records_std,n_attacked_records_mean,n_attacked_records_std,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,aggregate_distortion_mean,aggregate_distortion_std,data_quality_score_mean,data_quality_score_std,attack_success_reduction_mean,attack_success_reduction_std,runtime_sec_mean,runtime_sec_std,n_output_rows_mean,n_output_rows_std,entity_precision_mean,entity_precision_std,entity_recall_mean,entity_recall_std,entity_f1_mean,entity_f1_std,duplicate_output_rate_mean,duplicate_output_rate_std,missing_entity_rate_mean,missing_entity_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,repair_precision_mean,repair_precision_std,repair_recall_mean,repair_recall_std
midwest,0.2,parc,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.6811111111111111,,1.0,,0.6994975150000187,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
mpg,0.2,dependency_truth,21.0,,234.0,,12.0,,2121.0,,332.0,,0.996947496947497,,0.996947496947497,,0.01643576491435322,,0.8333333333333334,,0.9842381842141243,,0.5868714990000399,,234.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0011329963395502877,,0.0023717758671805513,,0.9961515689757253,,0.9976282241328195,
mpg,0.2,iterative_truth,21.0,,234.0,,12.0,,2121.0,,332.0,,0.9993894993894994,,0.9993894993894994,,0.0041223666075999215,,0.8333333333333334,,0.9960466711826663,,0.32844509699998525,,234.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0002614606937423741,,0.0005929439667951378,,0.9991108476585655,,0.9994070560332049,
mpg,0.2,majority,21.0,,234.0,,12.0,,2121.0,,332.0,,0.9920634920634921,,0.9920634920634921,,0.07076934435912581,,0.8219373219373219,,0.9321325551388472,,0.1336999519999722,,234.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.004444831793620359,,0.011265935369107619,,0.9849379799173066,,0.9887340646308924,
mpg,0.2,no_repair,21.0,,234.0,,12.0,,2121.0,,332.0,,0.48656898656898656,,0.48656898656898656,,1.042758343177791,,0.37891737891737887,,0.0,,0.1041228650000221,,234.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.4748126198361513,,0.27512600059294395,,0.30976814899277844,,0.724873999407056,
mpg,0.2,parc,21.0,,234.0,,12.0,,2121.0,,332.0,,0.9975579975579976,,0.9975579975579976,,0.0165431187241583,,0.8333333333333334,,0.9841352324511321,,0.6772342769999682,,234.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0008715356458079135,,0.0020753038837829827,,0.9970379146919431,,0.997924696116217,
txhousing,0.2,dependency_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9995238095238095,,0.9995238095238095,,0.0,,0.7111111111111111,,1.0,,0.7381525600000032,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.00013651877133105802,,0.0007117437722419929,,0.9995253915519696,,0.999288256227758,
txhousing,0.2,iterative_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.7111111111111111,,1.0,,0.6424371340000334,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
txhousing,0.2,majority,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9923809523809524,,0.9923809523809524,,0.038647507786967975,,0.7022222222222223,,0.9677012598714567,,0.22765681900000345,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.004232081911262798,,0.011387900355871887,,0.9853393237171908,,0.9886120996441281,
txhousing,0.2,no_repair,21.0,,300.0,,12.0,,2695.0,,425.0,,0.43761904761904763,,0.43761904761904763,,1.1965639412917553,,0.3188888888888889,,0.0,,0.1610680420000108,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.5236860068259386,,0.29323843416370104,,0.2796920476950521,,0.7067615658362989,
txhousing,0.2,parc,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9995238095238095,,0.9995238095238095,,0.0,,0.7111111111111111,,1.0,,0.7910053759999869,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.00013651877133105802,,0.0007117437722419929,,0.9995253915519696,,0.999288256227758,
wine,0.2,dependency_truth,21.0,,178.0,,12.0,,1611.0,,255.0,,0.9991974317817014,,0.9991974317817014,,0.0,,0.7265917602996255,,1.0,,0.4116445749999684,,178.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.00022588660492432798,,0.0012381345439537762,,0.9991742361684558,,0.9987618654560462,
wine,0.2,iterative_truth,21.0,,178.0,,12.0,,1611.0,,255.0,,1.0,,1.0,,0.0,,0.7265917602996255,,1.0,,0.2878010389999872,,178.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
wine,0.2,majority,21.0,,178.0,,12.0,,1611.0,,255.0,,0.9895666131621188,,0.9895666131621188,,0.07657838932672231,,0.7153558052434457,,0.9294463887188125,,0.1644144769999798,,178.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0054212785181838715,,0.018572018159306643,,0.9802143446001649,,0.9814279818406934,
wine,0.2,no_repair,21.0,,178.0,,12.0,,1611.0,,255.0,,0.4333868378812199,,0.4333868378812199,,1.0853929081181024,,0.30149812734082393,,0.0,,0.08643263599998363,,178.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.5276711091032302,,0.306231943871234,,0.2645994018573902,,0.693768056128766,
wine,0.2,parc,21.0,,178.0,,12.0,,1611.0,,255.0,,0.9991974317817014,,0.9991974317817014,,0.0,,0.7265917602996255,,1.0,,0.4591392629999973,,178.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.00022588660492432798,,0.0012381345439537762,,0.9991742361684558,,0.9987618654560462,
