dataset,budget,method,query,seed_mean,seed_std,query_l1_distortion_mean,query_l1_distortion_std,runtime_sec_mean,runtime_sec_std,n_entities_mean,n_entities_std
midwest,0.2,parc,having_top_groups,21.0,,0.0,,1.4525797950000197,,300.0,
midwest,0.2,parc,selection_groupby,21.0,,0.0,,1.4525797950000197,,300.0,
mpg,0.2,dependency_truth,category_join_filter,21.0,,0.0095815613309706,,0.9639404180002202,,234.0,
mpg,0.2,dependency_truth,geo_join_groupby,21.0,,0.0029420653671982,,0.9639404180002202,,234.0,
mpg,0.2,dependency_truth,having_top_groups,21.0,,0.0089662837767705,,0.9639404180002202,,234.0,
mpg,0.2,dependency_truth,selection_groupby,21.0,,0.0164357649143532,,0.9639404180002202,,234.0,
mpg,0.2,iterative_truth,category_join_filter,21.0,,0.0020611833037999,,0.694957777000127,,234.0,
mpg,0.2,iterative_truth,geo_join_groupby,21.0,,0.0,,0.694957777000127,,234.0,
mpg,0.2,iterative_truth,having_top_groups,21.0,,0.0,,0.694957777000127,,234.0,
mpg,0.2,iterative_truth,selection_groupby,21.0,,0.0041223666075999,,0.694957777000127,,234.0,
mpg,0.2,majority,category_join_filter,21.0,,0.0353846721795629,,0.2477109689998542,,234.0,
mpg,0.2,majority,geo_join_groupby,21.0,,0.0,,0.2477109689998542,,234.0,
mpg,0.2,majority,having_top_groups,21.0,,0.0301525793170259,,0.2477109689998542,,234.0,
mpg,0.2,majority,selection_groupby,21.0,,0.0707693443591258,,0.2477109689998542,,234.0,
mpg,0.2,no_repair,category_join_filter,21.0,,0.7975254602283914,,0.2252493969999704,,234.0,
mpg,0.2,no_repair,geo_join_groupby,21.0,,0.5719259819846426,,0.2252493969999704,,234.0,
mpg,0.2,no_repair,having_top_groups,21.0,,1.136825000864962,,0.2252493969999704,,234.0,
mpg,0.2,no_repair,selection_groupby,21.0,,1.042758343177791,,0.2252493969999704,,234.0,
mpg,0.2,parc,category_join_filter,21.0,,0.0096889151407757,,1.0181447329996445,,234.0,
mpg,0.2,parc,geo_join_groupby,21.0,,0.0028347115573931,,1.0181447329996445,,234.0,
mpg,0.2,parc,having_top_groups,21.0,,0.0089662837767705,,1.0181447329996445,,234.0,
mpg,0.2,parc,selection_groupby,21.0,,0.0165431187241583,,1.0181447329996445,,234.0,
txhousing,0.2,dependency_truth,category_join_filter,21.0,,0.0,,1.2159738369996376,,300.0,
txhousing,0.2,dependency_truth,geo_join_groupby,21.0,,0.0,,1.2159738369996376,,300.0,
txhousing,0.2,dependency_truth,having_top_groups,21.0,,0.0,,1.2159738369996376,,300.0,
txhousing,0.2,dependency_truth,selection_groupby,21.0,,0.0,,1.2159738369996376,,300.0,
txhousing,0.2,iterative_truth,category_join_filter,21.0,,0.0,,0.8310969139997724,,300.0,
txhousing,0.2,iterative_truth,geo_join_groupby,21.0,,0.0,,0.8310969139997724,,300.0,
txhousing,0.2,iterative_truth,having_top_groups,21.0,,0.0,,0.8310969139997724,,300.0,
txhousing,0.2,iterative_truth,selection_groupby,21.0,,0.0,,0.8310969139997724,,300.0,
txhousing,0.2,majority,category_join_filter,21.0,,0.0233002115704506,,0.3541380889996617,,300.0,
txhousing,0.2,majority,geo_join_groupby,21.0,,0.0190271464307707,,0.3541380889996617,,300.0,
txhousing,0.2,majority,having_top_groups,21.0,,0.4463129700272479,,0.3541380889996617,,300.0,
txhousing,0.2,majority,selection_groupby,21.0,,0.0386475077869679,,0.3541380889996617,,300.0,
txhousing,0.2,no_repair,category_join_filter,21.0,,0.8253756525338628,,0.2660068209997916,,300.0,
txhousing,0.2,no_repair,geo_join_groupby,21.0,,0.5571810345488414,,0.2660068209997916,,300.0,
txhousing,0.2,no_repair,having_top_groups,21.0,,4.045460817438692,,0.2660068209997916,,300.0,
txhousing,0.2,no_repair,selection_groupby,21.0,,1.1965639412917553,,0.2660068209997916,,300.0,
txhousing,0.2,parc,category_join_filter,21.0,,0.0,,1.2511888029998772,,300.0,
txhousing,0.2,parc,geo_join_groupby,21.0,,0.0,,1.2511888029998772,,300.0,
txhousing,0.2,parc,having_top_groups,21.0,,0.0,,1.2511888029998772,,300.0,
txhousing,0.2,parc,selection_groupby,21.0,,0.0,,1.2511888029998772,,300.0,
wine,0.2,dependency_truth,category_join_filter,21.0,,0.0,,0.6764707160000398,,178.0,
