method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1
parc_no_schema,0.3,7001,300,12,2670,755,387,all,1.0,coordinated,0.9890476190476192,0.9857507936507937,0.0039583413561175,0.9988888888888888,0.9967716170916407,0.6178869179993853,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0026189127972819,0.0046895935685573,0.9917668001780152,0.9953104064314426,1.0,0.6666666666666666,0.8
parc_name_blocks,0.3,7001,300,12,2670,755,387,all,1.0,coordinated,0.9947619047619048,0.9898128405591092,0.0480617198432184,1.0,0.960801350634302,0.8999352020000515,303.0,0.99009900990099,1.0,0.9950248756218906,0.0099009900990099,0.0,0.0017644152727786,0.013271400132714,0.9944271065537228,0.986728599867286,1.0,0.6666666666666666,0.8
parc,0.3,7002,300,12,2691,730,384,all,1.0,coordinated,0.988095238095238,0.9848015873015874,0.0104209882573078,1.0,0.9882968161367688,0.702939982999851,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0051905574516496,0.0074754378470739,0.9845338983050848,0.992524562152926,1.0,0.7777777777777778,0.8750000000000001
parc_no_prov,0.3,7002,300,12,2691,730,384,all,1.0,coordinated,0.9633333333333334,0.9601222222222224,0.1794615416817018,0.9988888888888888,0.7984575582640103,0.6157121520000146,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0235352673492605,0.0512601452370781,0.9306515818143724,0.9487398547629218,0.0,0.0,0.0
parc_no_constraints,0.3,7002,300,12,2691,730,384,all,1.0,coordinated,0.9866666666666668,0.9833777777777778,0.0104209882573078,0.9933333333333332,0.9882968161367688,0.6432143949996316,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0061860068259385,0.0096112772319521,0.9815834038950042,0.9903887227680478,1.0,0.7777777777777778,0.8750000000000001
parc_no_trust,0.3,7002,300,12,2691,730,384,all,1.0,coordinated,0.9842857142857144,0.981004761904762,0.0242010402203702,1.0,0.9728212702685056,0.3734187489999385,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0072525597269624,0.0140965399401964,0.9783806697753286,0.9859034600598034,1.0,0.7777777777777778,0.8750000000000001
parc_no_schema,0.3,7002,300,12,2691,730,384,all,1.0,coordinated,0.9876190476190476,0.9843269841269842,0.0104209882573078,1.0,0.9882968161367688,0.6508994109999549,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0054749715585893,0.0079026057240495,0.983693350275307,0.9920973942759505,1.0,0.7777777777777778,0.8750000000000001
parc_name_blocks,0.3,7002,300,12,2691,730,384,all,1.0,coordinated,0.9938095238095238,0.9888651978204216,0.038622981568708,0.9988998899889988,0.9566248571168092,0.8791868480002449,303.0,0.99009900990099,1.0,0.9950248756218906,0.0099009900990099,0.0,0.0027657612935252,0.0084459459459459,0.9917634635691658,0.991554054054054,1.0,0.7777777777777778,0.8750000000000001
parc,0.3,7003,300,12,2711,754,387,all,1.0,coordinated,0.9771428571428572,0.9673714285714284,0.0145194901466002,1.0,0.9891239237645886,0.7421320949997607,300.0,0.99,0.99,0.99,0.01,0.01,0.0072170262905957,0.0046983649689907,0.981831664812755,0.9953016350310092,1.0,0.4444444444444444,0.6153846153846153
parc_no_prov,0.3,7003,300,12,2711,754,387,all,1.0,coordinated,0.9571428571428572,0.9475714285714286,0.2071567673860836,0.9988888888888888,0.8448256259673155,0.5983104489996549,300.0,0.99,0.99,0.99,0.01,0.01,0.0193681419839458,0.0511182108626198,0.9504894578313252,0.9488817891373802,0.0,0.0,0.0
parc_no_constraints,0.3,7003,300,12,2711,754,387,all,1.0,coordinated,0.9761904761904762,0.9664285714285714,0.0145194901466002,0.9922222222222222,0.9891239237645886,0.6131764450001356,300.0,0.99,0.99,0.99,0.01,0.01,0.0076588850430812,0.0052621687652696,0.9807300352047432,0.9947378312347304,1.0,0.4444444444444444,0.6153846153846153
parc_no_trust,0.3,7003,300,12,2711,754,387,all,1.0,coordinated,0.9738095238095238,0.9640714285714286,0.0309267873278742,0.9988888888888888,0.9768337528867655,0.3680368759996781,300.0,0.99,0.99,0.99,0.01,0.01,0.0089108181751233,0.0118398797218567,0.9775051124744376,0.9881601202781432,1.0,0.4444444444444444,0.6153846153846153
parc_no_schema,0.3,7003,300,12,2711,754,387,all,1.0,coordinated,0.9761904761904762,0.9664285714285714,0.0145194901466002,1.0,0.9891239237645886,0.629878254999312,300.0,0.99,0.99,0.99,0.01,0.01,0.0076588850430812,0.0052621687652696,0.9807300352047432,0.9947378312347304,1.0,0.4444444444444444,0.6153846153846153
parc_name_blocks,0.3,7003,300,12,2711,754,387,all,1.0,coordinated,0.991904761904762,0.9853358561967832,0.0457017270914236,1.0,0.9657663276797172,0.9334899820005376,304.0,0.986842105263158,1.0,0.9933774834437086,0.0131578947368421,0.0,0.0019794721407624,0.0073074761101742,0.9949295774647888,0.9926925238898258,1.0,0.4444444444444444,0.6153846153846153
parc,0.3,7004,300,12,2738,773,390,all,1.0,coordinated,0.9852380952380952,0.9721015873015876,0.0066860772256116,1.0,0.993900171999972,0.7510509150000075,300.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.000842578289566,0.0010513036164844,0.9974805794667226,0.9989486963835156,1.0,0.4444444444444444,0.6153846153846153
parc_no_prov,0.3,7004,300,12,2738,773,390,all,1.0,coordinated,0.9761904761904762,0.9631746031746032,0.0848936859761387,1.0,0.9225499698449162,0.6787410709999904,300.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0058278331694986,0.0180824222035323,0.9825373448348412,0.9819175777964676,0.0,0.0,0.0
parc_no_constraints,0.3,7004,300,12,2738,773,390,all,1.0,coordinated,0.9833333333333332,0.9702222222222224,0.0066860772256116,0.9888888888888888,0.993900171999972,0.6516159820000098,300.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0019660160089875,0.0029436501261564,0.9941299790356394,0.9970563498738436,1.0,0.4444444444444444,0.6153846153846153
parc_no_trust,0.3,7004,300,12,2738,773,390,all,1.0,coordinated,0.9809523809523808,0.967873015873016,0.0123446135082609,1.0,0.9887377880053836,0.3764785490000122,300.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0029490240134812,0.0056770395290159,0.9911968140850974,0.994322960470984,1.0,0.4444444444444444,0.6153846153846153
parc_no_schema,0.3,7004,300,12,2738,773,390,all,1.0,coordinated,0.9847619047619048,0.9716317460317462,0.007237894733218,1.0,0.9933967390047757,0.6432097459999682,300.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0011234377194214,0.0014718250630782,0.996642182581322,0.9985281749369218,1.0,0.4444444444444444,0.6153846153846153
parc_name_blocks,0.3,7004,300,12,2738,773,390,all,1.0,coordinated,0.998095238095238,0.9931295901445156,0.0378178506832405,0.9988998899889988,0.9654980975070314,1.013512383000034,303.0,0.99009900990099,1.0,0.9950248756218906,0.0099009900990099,0.0,0.0008354800529137,0.0022902352696231,0.9975020815986678,0.9977097647303768,1.0,0.4444444444444444,0.6153846153846153
