method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1
dependency_truth,0.2,13000,300,12,2400,381,110,all,1.0,coordinated,0.9947619047619048,0.9947619047619048,0.0306582808732921,1.0,0.9677793003876252,0.6082270209999479,300.0,1.0,1.0,1.0,0.0,0.0,0.0037321959022012,0.003813674748025,0.9867781975175391,0.9961863252519748,1.0,0.7777777777777778,0.8750000000000001
parc,0.2,13000,300,12,2400,381,110,all,1.0,coordinated,0.9952380952380953,0.9952380952380953,0.0301986211421249,1.0,0.9682623854693704,0.667750263999551,300.0,1.0,1.0,1.0,0.0,0.0,0.0035036941122705,0.0032688640697357,0.9875843454790824,0.9967311359302642,1.0,0.7777777777777778,0.8750000000000001
majority,0.2,13001,300,12,2381,369,102,all,1.0,coordinated,0.9923809523809524,0.9923809523809524,0.0364758063294085,0.9855555555555556,0.9540524373675144,0.2685809479999079,300.0,1.0,1.0,1.0,0.0,0.0,0.0035507246376811,0.0080223229856993,0.9830625648116142,0.9919776770143006,0.0,0.0,0.0
dependency_truth,0.2,13001,300,12,2381,369,102,all,1.0,coordinated,0.9976190476190476,0.9976190476190476,0.0026813802547505,1.0,0.9966223395835576,0.7079878639997332,300.0,1.0,1.0,1.0,0.0,0.0,0.0015217391304347,0.0017439832577607,0.9927159209157128,0.9982560167422392,1.0,0.6666666666666666,0.8
parc,0.2,13001,300,12,2381,369,102,all,1.0,coordinated,0.998095238095238,0.998095238095238,0.0020178605457083,1.0,0.9974581569775248,0.74330556500081,300.0,1.0,1.0,1.0,0.0,0.0,0.001231884057971,0.0013951866062085,0.9940972222222222,0.9986048133937914,1.0,0.6666666666666666,0.8
majority,0.2,13002,300,12,2431,353,96,all,1.0,coordinated,0.9876190476190476,0.9876190476190476,0.0587964701111298,0.9866666666666668,0.9329456903952136,0.2335499789996902,300.0,1.0,1.0,1.0,0.0,0.0,0.0066225165562913,0.0233440326816457,0.9738143729997092,0.9766559673183542,0.0,0.0,0.0
dependency_truth,0.2,13002,300,12,2431,353,96,all,1.0,coordinated,0.9966666666666668,0.9966666666666668,0.0243810062006218,1.0,0.9721947332014538,0.6746248059998834,300.0,1.0,1.0,1.0,0.0,0.0,0.0012509197939661,0.0035016049022468,0.99504662004662,0.9964983950977532,1.0,0.7777777777777778,0.8750000000000001
parc,0.2,13002,300,12,2431,353,96,all,1.0,coordinated,0.9966666666666668,0.9966666666666668,0.0243810062006218,1.0,0.9721947332014538,0.7334029090006879,300.0,1.0,1.0,1.0,0.0,0.0,0.0015452538631346,0.0032098044937262,0.9938900203665988,0.9967901955062736,1.0,0.7777777777777778,0.8750000000000001
majority,0.2,13000,600,12,4814,691,188,all,1.0,coordinated,0.9888095238095238,0.987161507936508,0.0468128460956573,0.9877777777777778,0.939881375188781,0.4104740880002282,600.0,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.0016666666666666,0.0016666666666666,0.0057113754592746,0.0121339589063258,0.9749321411464156,0.9878660410936742,0.0,0.0,0.0
dependency_truth,0.2,13000,600,12,4814,691,188,all,1.0,coordinated,0.9954761904761904,0.9938170634920634,0.0052243640477405,1.0,0.9932906967155652,1.3008368929995413,600.0,0.9983333333333332,0.9983333333333332,0.9983333333333332,0.0016666666666666,0.0016666666666666,0.0023645821965149,0.0021032195437631,0.9895716348467832,0.9978967804562368,1.0,0.6666666666666666,0.8
