suite,budget,method,margin_threshold,width_threshold,certified_fraction_mean,certified_fraction_std,conditional_coverage_mean,conditional_coverage_std,mean_certified_width_mean,mean_certified_width_std,mean_relative_miss_mean,mean_relative_miss_std,certified_groups_sum,n_groups_sum
synthetic-control,0.2,dependency_truth,0.0,0.1,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,dependency_truth,0.0,0.25,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,dependency_truth,0.0,0.5,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,dependency_truth,0.0,1.0,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,parc,0.0,0.01,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,parc,0.0,0.02,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,parc,0.0,0.05,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,parc,0.0,0.1,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,parc,0.0,0.25,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,parc,0.0,0.5,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,parc,0.0,1.0,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,parc,1.0,0.01,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.2,parc,1.0,0.02,0.08333333333333333,,1.0,,0.01788821366754684,,0.0,,1,12
synthetic-control,0.2,parc,1.0,0.05,0.08333333333333333,,1.0,,0.01788821366754684,,0.0,,1,12
synthetic-control,0.2,parc,1.0,0.1,0.25,,1.0,,0.06124156045706388,,0.0,,3,12
synthetic-control,0.2,parc,1.0,0.25,0.75,,1.0,,0.1311440637966921,,0.0,,9,12
synthetic-control,0.2,parc,1.0,0.5,0.9166666666666666,,1.0,,0.16892377612178341,,0.0,,11,12
synthetic-control,0.2,parc,1.0,1.0,1.0,,1.0,,0.20367007023611142,,0.0,,12,12
synthetic-control,0.2,parc,1.5,0.01,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.2,parc,1.5,0.02,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.2,parc,1.5,0.05,0.08333333333333333,,1.0,,0.046740154893810566,,0.0,,1,12
synthetic-control,0.2,parc,1.5,0.1,0.16666666666666666,,1.0,,0.05906429738243375,,0.0,,2,12
synthetic-control,0.2,parc,1.5,0.25,0.75,,1.0,,0.16263735518008063,,0.0,,9,12
synthetic-control,0.2,parc,1.5,0.5,0.9166666666666666,,1.0,,0.1952197154527078,,0.0,,11,12
synthetic-control,0.2,parc,1.5,1.0,1.0,,1.0,,0.22777468128945874,,0.0,,12,12
synthetic-control,0.2,parc,2.0,0.01,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.2,parc,2.0,0.02,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.2,parc,2.0,0.05,0.08333333333333333,,1.0,,0.046740154893810566,,0.0,,1,12
synthetic-control,0.2,parc,2.0,0.1,0.16666666666666666,,1.0,,0.05906429738243375,,0.0,,2,12
synthetic-control,0.2,parc,2.0,0.25,0.75,,1.0,,0.16263735518008063,,0.0,,9,12
synthetic-control,0.2,parc,2.0,0.5,0.9166666666666666,,1.0,,0.1952197154527078,,0.0,,11,12
synthetic-control,0.2,parc,2.0,1.0,1.0,,1.0,,0.22777468128945874,,0.0,,12,12
synthetic-control,0.35,dependency_truth,0.0,0.01,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,dependency_truth,0.0,0.02,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,dependency_truth,0.0,0.05,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,dependency_truth,0.0,0.1,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,dependency_truth,0.0,0.25,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,dependency_truth,0.0,0.5,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,dependency_truth,0.0,1.0,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,parc,0.0,0.01,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,parc,0.0,0.02,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,parc,0.0,0.05,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,parc,0.0,0.1,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,parc,0.0,0.25,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,parc,0.0,0.5,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,parc,0.0,1.0,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,parc,1.0,0.01,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.0,0.02,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.0,0.05,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.0,0.1,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.0,0.25,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.0,0.5,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.0,1.0,0.3333333333333333,,1.0,,0.6927973270416129,,0.0,,4,12
synthetic-control,0.35,parc,1.5,0.01,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.5,0.02,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.5,0.05,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.5,0.1,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.5,0.25,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.5,0.5,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.5,1.0,0.25,,1.0,,0.7339905142013176,,0.0,,3,12
synthetic-control,0.35,parc,2.0,0.01,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,2.0,0.02,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,2.0,0.05,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,2.0,0.1,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,2.0,0.25,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,2.0,0.5,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,2.0,1.0,0.25,,1.0,,0.7872350969106313,,0.0,,3,12
