operator_label,method,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,aggregate_distortion_mean,aggregate_distortion_std,data_quality_score_mean,data_quality_score_std,attack_success_reduction_mean,attack_success_reduction_std,entity_precision_mean,entity_precision_std,entity_recall_mean,entity_recall_std,entity_f1_mean,entity_f1_std,group_precision_mean,group_precision_std,group_recall_mean,group_recall_std,group_f1_mean,group_f1_std,duplicate_output_rate_mean,duplicate_output_rate_std,missing_entity_rate_mean,missing_entity_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,repair_precision_mean,repair_precision_std,repair_recall_mean,repair_recall_std,runtime_sec_mean,runtime_sec_std,n_output_rows_mean,n_output_rows_std,n_records_mean,n_records_std,n_attacked_records_mean,n_attacked_records_std,n_duplicates_mean,n_duplicates_std
key,majority,0.9961904761904762,0.00047619047619062993,0.9961904761904762,0.00047619047619062993,0.014737333706225235,0.004774411189133348,0.9944444444444445,0.0011111111111112154,0.8869560154407837,0.04391062139465739,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014587579051313334,0.0008065377314776562,0.005232554244472501,0.0009647822663745322,0.9902416173211007,0.006283353202225056,0.9947674457555274,0.0009647822663745056,0.22718850666660725,0.011245898845755734,300.0,0.0,2291.3333333333335,7.767453465154075,128.0,7.937253933193772,0.0,0.0
key,parc,0.9942857142857142,0.0012598815766974322,0.9942857142857142,0.0012598815766974322,0.01684071742265167,0.004084216489900122,1.0,0.0,0.8740298605966427,0.01514143113299186,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0026010794011624336,0.0003024089411422892,0.0069268127181792,0.0008612420236996626,0.9835715189905071,0.002453625373723369,0.9930731872818207,0.0008612420236996948,0.6122612890003438,0.037493655479827886,300.0,0.0,2291.3333333333335,7.767453465154075,128.0,7.937253933193772,0.0,0.0
name,dependency_truth,0.9974603174603175,0.0007273929674532278,0.9974603174603175,0.0007273929674532278,0.004585436919373267,0.002972949725716225,1.0,0.0,0.9632628716457233,0.020573721796966857,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0010154404566051667,0.0002101252571676663,0.004275361917288067,0.0013285635894974943,0.9937295911981779,0.0005192174682546606,0.9957246380827119,0.0013285635894974112,0.6241010279997378,0.026595904606703403,300.0,0.0,2291.3333333333335,7.767453465154075,61.666666666666664,3.7859388972001833,0.0,0.0
name,majority,0.9977777777777779,0.001198386418296949,0.9977777777777779,0.001198386418296949,0.007357884130870467,0.004877012817719216,0.9985185185185186,0.002566001196398297,0.9351371420332849,0.05392867117368994,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046061414743713333,0.00019131224035920356,0.003757032240609867,0.0017353232825805366,0.9972075760831358,0.0007627054958355144,0.9962429677593901,0.0017353232825804464,0.21237970666667627,0.00378742694540423,300.0,0.0,2291.3333333333335,7.767453465154075,61.666666666666664,3.7859388972001833,0.0,0.0
name,parc,0.9974603174603175,0.0007273929674532278,0.9974603174603175,0.0007273929674532278,0.004585436919373267,0.002972949725716225,1.0,0.0,0.9632628716457233,0.020573721796966857,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0010154404566051667,0.0002101252571676663,0.004275361917288067,0.0013285635894974943,0.9937295911981779,0.0005192174682546606,0.9957246380827119,0.0013285635894974112,0.7063952079997762,0.16560662162503198,300.0,0.0,2291.3333333333335,7.767453465154075,61.666666666666664,3.7859388972001833,0.0,0.0
outlier,dependency_truth,0.9898412698412699,0.0015307382160305982,0.9898412698412699,0.0015307382160305982,0.06318989939951584,0.035621843560663564,1.0,0.0,0.9291296969695636,0.04618797814714543,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003975744892769467,0.0005331169764127715,0.016095711907694,0.0056505027684857325,0.9788172313012451,0.0044847073871621896,0.983904288092306,0.005650502768485734,0.6104347836665814,0.007538507617687521,300.0,0.0,2291.3333333333335,7.767453465154075,165.66666666666666,7.371114795831998,0.0,0.0
outlier,majority,0.9925396825396825,0.0023967728365939032,0.9925396825396825,0.0023967728365939032,0.054261903098454724,0.009900291231446333,0.9985185185185186,0.002566001196398297,0.9412034454539943,0.008784947593950779,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019852317416323667,0.0008115242221665702,0.016151185963196434,0.0028739196365213,0.9896655590076193,0.0031586738769419248,0.9838488140368035,0.0028739196365213716,0.21714548400026001,0.0026236188759611134,300.0,0.0,2291.3333333333335,7.767453465154075,165.66666666666666,7.371114795831998,0.0,0.0
outlier,parc,0.9898412698412699,0.0015307382160305982,0.9898412698412699,0.0015307382160305982,0.06318989939951584,0.035621843560663564,1.0,0.0,0.9291296969695636,0.04618797814714543,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003975744892769467,0.0005331169764127715,0.016095711907694,0.0056505027684857325,0.9788172313012451,0.0044847073871621896,0.983904288092306,0.005650502768485734,0.6022599423331485,0.014242423106110761,300.0,0.0,2291.3333333333335,7.767453465154075,165.66666666666666,7.371114795831998,0.0,0.0
provenance,dependency_truth,0.9984126984126984,0.0014547859349066192,0.9984126984126984,0.0014547859349066192,0.003023261199308897,0.003942075143902225,1.0,0.0,0.9788072180241872,0.025874840031625313,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5185185185185185,0.12830005981991682,0.6769230769230768,0.10658774200423869,0.0,0.0,0.0,0.0,0.0005594947518303333,0.0005214111410724549,0.0022887298917884332,0.00172307471951112,0.9967182171476848,0.0029043028885277575,0.9977112701082115,0.001723074719511165,0.6397917856669059,0.0644157705193316,300.0,0.0,2291.3333333333335,7.767453465154075,0.0,0.0,0.0,0.0
provenance,majority,0.9977777777777779,0.001198386418296949,0.9977777777777779,0.001198386418296949,0.007357884130870467,0.004877012817719216,0.9985185185185186,0.002566001196398297,0.9351371420332849,0.05392867117368994,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045963897164493335,0.00019102129564436827,0.003806210835421434,0.0017462088659218368,0.9971697336385043,0.0007637662162242781,0.9961937891645786,0.001746208865921819,0.2385573530000328,0.023749749839716592,300.0,0.0,2291.3333333333335,7.767453465154075,0.0,0.0,0.0,0.0
