dataset,budget,method,query,seed_mean,seed_std,seed_min,seed_max,query_l1_distortion_mean,query_l1_distortion_std,query_l1_distortion_min,query_l1_distortion_max,runtime_sec_mean,runtime_sec_std,runtime_sec_min,runtime_sec_max
iris,0.27,no_repair,geo_join_groupby,41.5,0.7071067811865476,41,42,0.5091323821171355,0.03901931429369299,0.481541560382816,0.536723203851455,0.33023728000000574,0.04779173937961808,0.2964434169999776,0.3640311430000338
iris,0.27,no_repair,having_top_groups,41.5,0.7071067811865476,41,42,1.4584760274105564,0.05970471268159165,1.4162584202046085,1.5006936346165043,0.33023728000000574,0.04779173937961808,0.2964434169999776,0.3640311430000338
iris,0.27,no_repair,selection_groupby,41.5,0.7071067811865476,41,42,1.4832658785161028,0.07171779430306509,1.4325537398326635,1.533978017199542,0.33023728000000574,0.04779173937961808,0.2964434169999776,0.3640311430000338
iris,0.27,parc,category_join_filter,41.5,0.7071067811865476,41,42,0.0128301205520936,0.015075226116576237,0.002170325937142,0.0234899151670452,1.6433395345000008,0.18167305408164278,1.5148772860000008,1.7718017830000008
iris,0.27,parc,geo_join_groupby,41.5,0.7071067811865476,41,42,0.01542364063440295,0.02181232176634142,0.0,0.0308472812688059,1.6433395345000008,0.18167305408164278,1.5148772860000008,1.7718017830000008
iris,0.27,parc,having_top_groups,41.5,0.7071067811865476,41,42,0.01715524236600465,0.018122567669648513,0.0043406518742841,0.0299698328577252,1.6433395345000008,0.18167305408164278,1.5148772860000008,1.7718017830000008
iris,0.27,parc,selection_groupby,41.5,0.7071067811865476,41,42,0.01715524236600465,0.018122567669648513,0.0043406518742841,0.0299698328577252,1.6433395345000008,0.18167305408164278,1.5148772860000008,1.7718017830000008
wine,0.17,dependency_truth,category_join_filter,41.0,,41,41,0.0,,0.0,0.0,1.6182629859999906,,1.6182629859999906,1.6182629859999906
wine,0.17,dependency_truth,geo_join_groupby,41.0,,41,41,0.0090875788715463,,0.0090875788715463,0.0090875788715463,1.6182629859999906,,1.6182629859999906,1.6182629859999906
wine,0.17,dependency_truth,having_top_groups,41.0,,41,41,0.0,,0.0,0.0,1.6182629859999906,,1.6182629859999906,1.6182629859999906
wine,0.17,dependency_truth,selection_groupby,41.0,,41,41,0.0,,0.0,0.0,1.6182629859999906,,1.6182629859999906,1.6182629859999906
wine,0.17,no_repair,category_join_filter,41.0,,41,41,0.8303533970420848,,0.8303533970420848,0.8303533970420848,0.3833148669999673,,0.3833148669999673,0.3833148669999673
wine,0.17,no_repair,geo_join_groupby,41.0,,41,41,0.59147071096472,,0.59147071096472,0.59147071096472,0.3833148669999673,,0.3833148669999673,0.3833148669999673
wine,0.17,no_repair,having_top_groups,41.0,,41,41,1.0555407818027542,,1.0555407818027542,1.0555407818027542,0.3833148669999673,,0.3833148669999673,0.3833148669999673
wine,0.17,no_repair,selection_groupby,41.0,,41,41,1.133159676257181,,1.133159676257181,1.133159676257181,0.3833148669999673,,0.3833148669999673,0.3833148669999673
wine,0.17,parc,category_join_filter,41.0,,41,41,0.0,,0.0,0.0,1.8994952470000044,,1.8994952470000044,1.8994952470000044
wine,0.17,parc,geo_join_groupby,41.0,,41,41,0.0090875788715463,,0.0090875788715463,0.0090875788715463,1.8994952470000044,,1.8994952470000044,1.8994952470000044
wine,0.17,parc,having_top_groups,41.0,,41,41,0.0,,0.0,0.0,1.8994952470000044,,1.8994952470000044,1.8994952470000044
wine,0.17,parc,selection_groupby,41.0,,41,41,0.0,,0.0,0.0,1.8994952470000044,,1.8994952470000044,1.8994952470000044
wine,0.27,dependency_truth,category_join_filter,41.0,,41,41,0.0040409298541567,,0.0040409298541567,0.0040409298541567,1.5904902010000797,,1.5904902010000797,1.5904902010000797
wine,0.27,dependency_truth,geo_join_groupby,41.0,,41,41,0.0190558465822508,,0.0190558465822508,0.0190558465822508,1.5904902010000797,,1.5904902010000797,1.5904902010000797
wine,0.27,dependency_truth,having_top_groups,41.0,,41,41,0.0097994139982833,,0.0097994139982833,0.0097994139982833,1.5904902010000797,,1.5904902010000797,1.5904902010000797
wine,0.27,dependency_truth,selection_groupby,41.0,,41,41,0.0097994139982833,,0.0097994139982833,0.0097994139982833,1.5904902010000797,,1.5904902010000797,1.5904902010000797
wine,0.27,no_repair,category_join_filter,41.0,,41,41,0.8440796528884592,,0.8440796528884592,0.8440796528884592,0.3346076909999738,,0.3346076909999738,0.3346076909999738
wine,0.27,no_repair,geo_join_groupby,41.0,,41,41,0.4621818661741303,,0.4621818661741303,0.4621818661741303,0.3346076909999738,,0.3346076909999738,0.3346076909999738
wine,0.27,no_repair,having_top_groups,41.0,,41,41,1.2478161741660292,,1.2478161741660292,1.2478161741660292,0.3346076909999738,,0.3346076909999738,0.3346076909999738
wine,0.27,no_repair,selection_groupby,41.0,,41,41,1.3137531971104577,,1.3137531971104577,1.3137531971104577,0.3346076909999738,,0.3346076909999738,0.3346076909999738
wine,0.27,parc,category_join_filter,41.0,,41,41,0.0117342777452105,,0.0117342777452105,0.0117342777452105,1.988855075999936,,1.988855075999936,1.988855075999936
