method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1
dependency_truth,0.3,15001,150,12,1385,386,201,all,1.0,coordinated,0.9723809523809523,0.9594158730158732,0.0129580768853558,1.0,0.9861678827946984,0.3311924700001327,150.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0138125440451021,0.0028135048231511,0.9620007754943776,0.9971864951768488,1.0,0.6666666666666666,0.8
parc,0.3,15001,150,12,1385,386,201,all,1.0,coordinated,0.9723809523809523,0.9594158730158732,0.0129580768853558,1.0,0.9861678827946984,0.3976907240003129,150.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0138125440451021,0.0028135048231511,0.9620007754943776,0.9971864951768488,1.0,0.6666666666666666,0.8
no_repair,0.3,15002,150,12,1349,374,189,all,1.0,coordinated,0.5847619047619048,0.5652698412698414,0.9619283802479124,0.5822222222222222,0.0,0.082287424000242,150.0,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.0333333333333333,0.0333333333333333,0.3725168035847647,0.1957498978340825,0.4410578216046615,0.8042501021659174,0.0,0.0,0.0
majority,0.3,15002,150,12,1349,374,189,all,1.0,coordinated,0.9038095238095238,0.8736825396825397,0.2857381448692364,0.9177777777777778,0.7029527865727438,0.0974316860001636,150.0,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.0333333333333333,0.0333333333333333,0.048991784914115,0.0604822231303637,0.875142748382185,0.9395177768696364,0.0,0.0,0.0
iterative_truth,0.3,15002,150,12,1349,374,189,all,1.0,coordinated,0.8961904761904762,0.8663174603174604,0.3915544193337513,0.9911111111111112,0.5929484695806166,0.2655578889998651,150.0,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.0333333333333333,0.0333333333333333,0.0564600448095593,0.0686554965263588,0.8577342867896124,0.9313445034736412,0.0,0.0,0.0
source_dependence,0.3,15002,150,12,1349,374,189,all,1.0,coordinated,0.9428571428571428,0.9114285714285714,0.0478931119422363,0.9955555555555556,0.9502113536457952,0.1196509979999973,150.0,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.0333333333333333,0.0333333333333333,0.022404779686333,0.0143032284429914,0.9414519906323184,0.9856967715570086,1.0,0.7777777777777778,0.8750000000000001
dependency_truth,0.3,15002,150,12,1349,374,189,all,1.0,coordinated,0.9438095238095238,0.9123492063492064,0.0090313533775739,1.0,0.9906111997909384,0.3052574659996026,150.0,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.0333333333333333,0.0333333333333333,0.0210604929051531,0.0089906007355946,0.9450506625097428,0.9910093992644052,1.0,0.7777777777777778,0.8750000000000001
parc,0.3,15002,150,12,1349,374,189,all,1.0,coordinated,0.9438095238095238,0.9123492063492064,0.011969422434929,1.0,0.9875568465587384,0.3422520869999061,150.0,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.0333333333333333,0.0333333333333333,0.0209111277072442,0.0089906007355946,0.9454191033138402,0.9910093992644052,1.0,0.7777777777777778,0.8750000000000001
no_repair,0.3,15000,150,12,1308,370,189,all,1.0,independent,0.7447619047619047,0.7447619047619047,0.3219285329784198,0.6844444444444444,0.0,0.0802471589995548,150.0,1.0,1.0,1.0,0.0,0.0,0.2139211136890951,0.1215161649944258,0.6309047237790232,0.8784838350055741,0.0,0.0,0.0
majority,0.3,15000,150,12,1308,370,189,all,1.0,independent,0.9095238095238096,0.9095238095238096,0.6574233916647376,0.9177777777777778,-1.042140799333271,0.0989969709999059,150.0,1.0,1.0,1.0,0.0,0.0,0.0546017014694508,0.1189149015235971,0.8704111600587372,0.8810850984764028,0.0,0.0,0.0
iterative_truth,0.3,15000,150,12,1308,370,189,all,1.0,independent,0.923809523809524,0.923809523809524,0.7118297686869076,0.9911111111111112,-1.2111422125314515,0.2678709539995907,150.0,1.0,1.0,1.0,0.0,0.0,0.0482598607888631,0.1133407655146785,0.8843587842846553,0.8866592344853215,0.0,0.0,0.0
source_dependence,0.3,15000,150,12,1308,370,189,all,1.0,independent,0.9504761904761904,0.9504761904761904,0.1375210854884452,0.9422222222222222,0.5728210723786207,0.1123610849999749,150.0,1.0,1.0,1.0,0.0,0.0,0.0286156225831399,0.0557413600891861,0.9321349963316214,0.9442586399108138,1.0,0.7777777777777778,0.8750000000000001
dependency_truth,0.3,15000,150,12,1308,370,189,all,1.0,independent,0.981904761904762,0.981904761904762,0.0461773475376001,1.0,0.8565602523318564,0.3078334499996344,150.0,1.0,1.0,1.0,0.0,0.0,0.008352668213457,0.018580453363062,0.9799628942486084,0.981419546636938,1.0,0.7777777777777778,0.8750000000000001
parc,0.3,15000,150,12,1308,370,189,all,1.0,independent,0.9809523809523808,0.9809523809523808,0.0600072205439817,1.0,0.8136008014300359,0.334938076999606,150.0,1.0,1.0,1.0,0.0,0.0,0.008507347254447,0.0215533259011519,0.9795386904761904,0.978446674098848,1.0,0.7777777777777778,0.8750000000000001
no_repair,0.3,15001,150,12,1376,371,192,all,1.0,independent,0.7161904761904762,0.7161904761904762,0.2460444934211299,0.7444444444444445,0.0,0.079950127000302,150.0,1.0,1.0,1.0,0.0,0.0,0.2438955936008981,0.1424581005586592,0.5528685361461281,0.8575418994413407,0.0,0.0,0.0
