suite,dataset,budget,seed,method,margin_threshold,width_threshold,n_groups,certified_groups,certified_fraction,conditional_coverage,mean_certified_width,mean_relative_miss
public-tabular,iris,0.35,11,dependency_truth,0.0,1.0,4,4,1.0,0.0,0.0,145937.5059307833
public-tabular,wine,0.2,11,parc,0.0,0.01,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.2,11,parc,0.0,0.02,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.2,11,parc,0.0,0.05,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.2,11,parc,0.0,0.1,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.2,11,parc,0.0,0.25,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.2,11,parc,0.0,0.5,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.2,11,parc,0.0,1.0,3,3,1.0,0.0,0.0,0.006666316981609598
public-tabular,wine,0.2,11,parc,1.0,0.01,3,0,0.0,0.0,,0.0
public-tabular,wine,0.2,11,parc,1.0,0.02,3,0,0.0,0.0,,0.0
public-tabular,wine,0.2,11,parc,1.0,0.05,3,0,0.0,0.0,,0.0
public-tabular,wine,0.2,11,parc,1.0,0.1,3,2,0.6666666666666666,1.0,0.09538865197846477,0.0
public-tabular,wine,0.2,11,parc,1.0,0.25,3,2,0.6666666666666666,1.0,0.09538865197846477,0.0
public-tabular,wine,0.2,11,parc,1.0,0.5,3,3,1.0,1.0,0.1665500428977675,0.0
public-tabular,wine,0.2,11,parc,1.0,1.0,3,3,1.0,1.0,0.1665500428977675,0.0
public-tabular,wine,0.2,11,parc,1.5,0.01,3,0,0.0,0.0,,0.0
public-tabular,wine,0.2,11,parc,1.5,0.02,3,0,0.0,0.0,,0.0
public-tabular,wine,0.2,11,parc,1.5,0.05,3,0,0.0,0.0,,0.0
public-tabular,wine,0.2,11,parc,1.5,0.1,3,1,0.3333333333333333,1.0,0.09544164152092381,0.0
public-tabular,wine,0.2,11,parc,1.5,0.25,3,2,0.6666666666666666,1.0,0.10952956934847247,0.0
public-tabular,wine,0.2,11,parc,1.5,0.5,3,3,1.0,1.0,0.18988747158815733,0.0
public-tabular,wine,0.2,11,parc,1.5,1.0,3,3,1.0,1.0,0.18988747158815733,0.0
public-tabular,wine,0.2,11,parc,2.0,0.01,3,0,0.0,0.0,,0.0
public-tabular,wine,0.2,11,parc,2.0,0.02,3,0,0.0,0.0,,0.0
public-tabular,wine,0.2,11,parc,2.0,0.05,3,0,0.0,0.0,,0.0
public-tabular,wine,0.2,11,parc,2.0,0.1,3,1,0.3333333333333333,1.0,0.09544164152092381,0.0
