method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1
parc,0.2,11000,300,12,2442,365,108,all,0.5,coordinated,0.9871428571428572,0.9838523809523808,0.0290585797538782,1.0,0.96416186186585,0.955886271000054,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0056791292001893,0.0080404318860555,0.9835990888382689,0.9919595681139444,1.0,0.6666666666666666,0.8
provenance_unaware,0.2,11001,300,12,2386,360,98,all,0.5,coordinated,0.981904761904762,0.981904761904762,0.0832689102400887,0.9777777777777776,0.9047285636135592,0.2169715199997881,300.0,1.0,1.0,1.0,0.0,0.0,0.0110568857709318,0.0192307692307692,0.9604257641921398,0.9807692307692308,0.0,0.0,0.0
dependency_truth,0.2,11001,300,12,2386,360,98,all,0.5,coordinated,0.9971428571428572,0.9971428571428572,0.0073542147023437,1.0,0.9915857359467488,0.6186111220004022,300.0,1.0,1.0,1.0,0.0,0.0,0.001372578923288,0.0033444816053511,0.994991652754591,0.9966555183946488,1.0,0.6666666666666666,0.8
parc,0.2,11001,300,12,2386,360,98,all,0.5,coordinated,0.9971428571428572,0.9971428571428572,0.0073542147023437,1.0,0.9915857359467488,0.657836235999639,300.0,1.0,1.0,1.0,0.0,0.0,0.001372578923288,0.0033444816053511,0.994991652754591,0.9966555183946488,1.0,0.6666666666666666,0.8
provenance_unaware,0.2,11002,300,12,2405,381,104,all,0.5,coordinated,0.9952380952380953,0.9952380952380953,0.0480755625060975,0.9966666666666668,0.93331867044372,0.2116778400004477,300.0,1.0,1.0,1.0,0.0,0.0,0.0027217530881429,0.0075818036711891,0.9845605700712587,0.9924181963288108,0.0,0.0,0.0
dependency_truth,0.2,11002,300,12,2405,381,104,all,0.5,coordinated,0.9985714285714286,0.9985714285714286,0.0018526774006897,1.0,0.9974303162380846,0.6069073859998753,300.0,1.0,1.0,1.0,0.0,0.0,0.0006978854072161,0.0019952114924181,0.9960175228992432,0.9980047885075818,1.0,0.7777777777777778,0.8750000000000001
parc,0.2,11002,300,12,2405,381,104,all,0.5,coordinated,0.9990476190476192,0.9990476190476192,0.0005414394623577,1.0,0.9992490175602278,0.6793223600006968,300.0,1.0,1.0,1.0,0.0,0.0,0.0004187312443296,0.0011971268954509,0.9976086090075728,0.9988028731045492,1.0,0.7777777777777778,0.8750000000000001
provenance_unaware,0.2,11000,300,12,2442,365,108,all,0.75,coordinated,0.9333333333333332,0.9302222222222224,0.1441569241634313,0.9311111111111112,0.822210314305753,0.2072956030006025,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.040779302729137,0.0411210659315414,0.8897889575783415,0.9588789340684586,0.0,0.0,0.0
dependency_truth,0.2,11000,300,12,2442,365,108,all,0.75,coordinated,0.9866666666666668,0.9833777777777778,0.0290585797538782,1.0,0.96416186186585,0.6105758069998046,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0058368827890834,0.0082701585113714,0.983147346845821,0.9917298414886284,1.0,0.6666666666666666,0.8
parc,0.2,11000,300,12,2442,365,108,all,0.75,coordinated,0.9861904761904762,0.9829031746031748,0.0276141554860207,1.0,0.9659432798454706,0.6632230549994347,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0056791292001893,0.008959338387319,0.9835841313269492,0.9910406616126808,1.0,0.6666666666666666,0.8
provenance_unaware,0.2,11001,300,12,2386,360,98,all,0.75,coordinated,0.9728571428571428,0.9728571428571428,0.0924678097661585,0.9711111111111111,0.8942037186444546,0.2173199389999354,300.0,1.0,1.0,1.0,0.0,0.0,0.0169284733872197,0.0287068004459308,0.9401132991637444,0.9712931995540692,0.0,0.0,0.0
