method,budget,seed,cluster,attribute,attribute_type,margin,margin_bin,independent_groups,filtered_claims,correct,incorrect,low_margin,has_independent_support,n_attacked_records,n_duplicates
parc,0.2,0,K:E00017,zip,categorical,5.5872139133142555,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00017,category,categorical,5.5872139133142555,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00017,revenue,numeric,1.91195663406572,"[1.5,3)",5,2,1,0,0,1,379,102
parc,0.2,0,K:E00017,employees,numeric,1.466338799630245,"[0.75,1.5)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00018,name,categorical,5.4021613714097985,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00018,city,categorical,4.701089077016315,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00018,state,categorical,2.2351881455776246,"[1.5,3)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00018,zip,categorical,4.177081206023201,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00018,category,categorical,1.5887251225538155,"[1.5,3)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00018,revenue,numeric,1.91195663406572,"[1.5,3)",4,2,1,0,0,1,379,102
parc,0.2,0,K:E00018,employees,numeric,0.8084506989417621,"[0.75,1.5)",5,1,1,0,0,1,379,102
parc,0.2,0,K:E00019,name,categorical,3.1941856249312375,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00019,city,categorical,4.932831864428218,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00019,state,categorical,6.036337799552175,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00019,zip,categorical,6.5603456705452885,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00019,category,categorical,6.739030880251708,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00019,revenue,numeric,1.91195663406572,"[1.5,3)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00019,employees,numeric,0.47482633416282805,"[0.25,0.75)",6,0,1,0,1,1,379,102
parc,0.2,0,K:E00020,name,categorical,5.593219385264094,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00020,city,categorical,5.777127419821744,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00020,state,categorical,3.251253334932084,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00020,zip,categorical,5.777127419821744,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00020,category,categorical,6.81992033695674,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00020,revenue,numeric,1.91195663406572,"[1.5,3)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00020,employees,numeric,1.91195663406572,"[1.5,3)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00021,name,categorical,3.2877410503764075,>=3,4,0,1,0,0,1,379,102
parc,0.2,0,K:E00021,city,categorical,1.7603618114147963,"[1.5,3)",4,0,1,0,0,1,379,102
parc,0.2,0,K:E00021,state,categorical,3.2488845552634897,>=3,4,0,1,0,0,1,379,102
parc,0.2,0,K:E00021,zip,categorical,2.896015080034127,"[1.5,3)",4,0,1,0,0,1,379,102
parc,0.2,0,K:E00021,category,categorical,3.4200229510272404,>=3,4,0,1,0,0,1,379,102
parc,0.2,0,K:E00021,revenue,numeric,0.9986916267916541,"[0.75,1.5)",4,1,1,0,0,1,379,102
parc,0.2,0,K:E00021,employees,numeric,0.5240078709931133,"[0.25,0.75)",4,0,1,0,1,1,379,102
parc,0.2,0,K:E00022,name,categorical,1.0236398860650116,"[0.75,1.5)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00022,city,categorical,2.874643881899552,"[1.5,3)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00022,state,categorical,1.5077877671968998,"[1.5,3)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00022,zip,categorical,4.368277458321253,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00022,category,categorical,1.9936298781746191,"[1.5,3)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00022,revenue,numeric,0.4456178344354748,"[0.25,0.75)",4,1,1,0,1,1,379,102
parc,0.2,0,K:E00022,employees,numeric,0.4456178344354748,"[0.25,0.75)",5,0,1,0,1,1,379,102
parc,0.2,0,K:E00023,name,categorical,3.608048217610278,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00023,city,categorical,3.9875820149208443,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00023,state,categorical,4.67101007227217,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00023,zip,categorical,6.164643648693872,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00023,category,categorical,5.261101980390192,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00023,revenue,numeric,1.91195663406572,"[1.5,3)",5,1,1,0,0,1,379,102
parc,0.2,0,K:E00023,employees,numeric,1.91195663406572,"[1.5,3)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00024,name,categorical,2.374179207846003,"[1.5,3)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00024,city,categorical,5.911477649223805,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00024,state,categorical,5.157392124578471,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00024,zip,categorical,6.121906997434051,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00024,category,categorical,5.0376660856583,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00024,revenue,numeric,1.91195663406572,"[1.5,3)",5,2,1,0,0,1,379,102
parc,0.2,0,K:E00024,employees,numeric,1.91195663406572,"[1.5,3)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00025,name,categorical,5.726204975582633,>=3,7,0,1,0,0,1,379,102
parc,0.2,0,K:E00025,city,categorical,3.116708345091409,>=3,7,0,1,0,0,1,379,102
parc,0.2,0,K:E00025,state,categorical,5.546749271493362,>=3,7,0,1,0,0,1,379,102
parc,0.2,0,K:E00025,zip,categorical,6.247601434150132,>=3,7,0,1,0,0,1,379,102
parc,0.2,0,K:E00025,category,categorical,5.726204975582633,>=3,7,0,1,0,0,1,379,102
parc,0.2,0,K:E00025,revenue,numeric,1.3879487630726066,"[0.75,1.5)",6,4,1,0,0,1,379,102
parc,0.2,0,K:E00025,employees,numeric,0.8084506989417621,"[0.75,1.5)",6,1,1,0,0,1,379,102
parc,0.2,0,K:E00026,name,categorical,4.433199849356319,>=3,4,0,1,0,0,1,379,102
parc,0.2,0,K:E00026,city,categorical,4.737094109397079,>=3,4,0,1,0,0,1,379,102
parc,0.2,0,K:E00026,state,categorical,4.737094109397079,>=3,4,0,1,0,0,1,379,102
parc,0.2,0,K:E00026,zip,categorical,2.945780339241608,"[1.5,3)",4,0,1,0,0,1,379,102
parc,0.2,0,K:E00026,category,categorical,3.0702694379357345,>=3,4,0,1,0,0,1,379,102
parc,0.2,0,K:E00026,revenue,numeric,1.91195663406572,"[1.5,3)",4,1,1,0,0,1,379,102
parc,0.2,0,K:E00026,employees,numeric,1.91195663406572,"[1.5,3)",4,0,1,0,0,1,379,102
parc,0.2,0,K:E00027,name,categorical,4.067867564702638,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00027,city,categorical,4.589264023270136,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00027,state,categorical,5.275303493047078,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00027,zip,categorical,3.6842574457177566,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00027,category,categorical,5.796699951614576,>=3,5,0,1,0,0,1,379,102
