method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1,operator_label
dependency_truth,0.25,9002,300,12,2588,303,303,duplicate,1.0,coordinated,0.9976190476190476,0.9976190476190476,0.0015614174181784,1.0,0.9869322348789504,0.6138455680002153,300.0,1.0,1.0,1.0,0.0,0.0,0.000763310221996,0.0025052192066805,0.9950020824656394,0.9974947807933194,1.0,1.0,1.0,duplicate
parc,0.25,9002,300,12,2588,303,303,duplicate,1.0,coordinated,0.9976190476190476,0.9976190476190476,0.0015614174181784,1.0,0.9869322348789504,0.8774243320003734,300.0,1.0,1.0,1.0,0.0,0.0,0.000763310221996,0.0025052192066805,0.9950020824656394,0.9974947807933194,1.0,1.0,1.0,duplicate
majority,0.25,9000,300,12,2289,135,0,fd,1.0,coordinated,0.9961904761904762,0.9961904761904762,0.0126613346669297,0.9911111111111112,0.8736353188941521,0.2112103509998633,300.0,1.0,1.0,1.0,0.0,0.0,0.0006567904838356,0.005603448275862,0.9961139896373056,0.994396551724138,0.0,0.0,0.0,fd
dependency_truth,0.25,9000,300,12,2289,135,0,fd,1.0,coordinated,0.9961904761904762,0.9961904761904762,0.0131434099099817,1.0,0.8688240343053011,1.0567989760002092,300.0,1.0,1.0,1.0,0.0,0.0,0.0011676275268189,0.0064655172413793,0.993106419646704,0.9935344827586208,1.0,1.0,1.0,fd
parc,0.25,9000,300,12,2289,135,0,fd,1.0,coordinated,0.9961904761904762,0.9961904761904762,0.0131434099099817,1.0,0.8688240343053011,1.4582058200003305,300.0,1.0,1.0,1.0,0.0,0.0,0.0011676275268189,0.0064655172413793,0.993106419646704,0.9935344827586208,1.0,1.0,1.0,fd
majority,0.25,9001,300,12,2300,136,0,fd,1.0,coordinated,0.9957142857142856,0.9957142857142856,0.0063463763279586,0.9933333333333332,0.9574354866861042,0.2653287319999435,300.0,1.0,1.0,1.0,0.0,0.0,0.0008284380177737,0.0056697377746279,0.9960951366702164,0.994330262225372,0.0,0.0,0.0,fd
dependency_truth,0.25,9001,300,12,2300,136,0,fd,1.0,coordinated,0.9933333333333332,0.9933333333333332,0.0075045392802601,1.0,0.9496678032309448,0.7147752040000341,300.0,1.0,1.0,1.0,0.0,0.0,0.0023346889591805,0.0074415308291991,0.9890536723163842,0.9925584691708008,1.0,1.0,1.0,fd
parc,0.25,9001,300,12,2300,136,0,fd,1.0,coordinated,0.9933333333333332,0.9933333333333332,0.0075045392802601,1.0,0.9496678032309448,0.6484689230001095,300.0,1.0,1.0,1.0,0.0,0.0,0.0023346889591805,0.0074415308291991,0.9890536723163842,0.9925584691708008,1.0,1.0,1.0,fd
majority,0.25,9002,300,12,2285,151,0,fd,1.0,coordinated,0.9971428571428572,0.9971428571428572,0.0030659413977231,0.9988888888888888,0.9743406205195986,0.2020502980003584,300.0,1.0,1.0,1.0,0.0,0.0,0.0005155018778996,0.0037251655629139,0.9971002485501242,0.996274834437086,0.0,0.0,0.0,fd
dependency_truth,0.25,9002,300,12,2285,151,0,fd,1.0,coordinated,0.9976190476190476,0.9976190476190476,0.0015614174181784,1.0,0.9869322348789504,0.5944825249998757,300.0,1.0,1.0,1.0,0.0,0.0,0.0008837175049709,0.0024834437086092,0.9950454170107348,0.9975165562913908,1.0,1.0,1.0,fd
