query,budget,method,query_l1_distortion_mean,query_l1_distortion_std,runtime_sec_mean,runtime_sec_std,n_entities_mean
topk_order_limit,0.2,majority,0.0508811166415771,0.017673278331136234,0.20836743600003158,0.12903344045039614,334.75
topk_order_limit,0.2,no_repair,1.0966885710170593,0.09603492651684443,0.1687705542500239,0.10178044259780898,334.75
topk_order_limit,0.2,parc,0.003814204903498084,0.005682429921032039,0.7658342397499923,0.4741345763722485,334.75
topk_order_limit,0.3,dependency_truth,0.007517850258112125,0.009363762096701075,0.6950138965000505,0.4346877603859363,334.75
topk_order_limit,0.3,iterative_truth,0.10813996142894722,0.030147288298358308,0.5018998667500156,0.31692174802438927,334.75
topk_order_limit,0.3,majority,0.3037911241433017,0.07052066027969424,0.21682637949996314,0.11284940848079189,334.75
topk_order_limit,0.3,no_repair,1.3612794920760107,0.07186558044222191,0.15540127274997667,0.075254433571055,334.75
topk_order_limit,0.3,parc,0.0074567248340109,0.009417484372556158,0.7601197212499855,0.47857702016715575,334.75
union_all,0.2,dependency_truth,0.003470805701633496,0.004870702324316273,0.6930259090000064,0.41755071437750335,334.75
union_all,0.2,iterative_truth,0.026196947997690727,0.009589669479854578,0.5344969049999762,0.3185097825433393,334.75
union_all,0.2,majority,0.0508811166415771,0.017673278331136234,0.20836743600003158,0.12903344045039614,334.75
union_all,0.2,no_repair,1.1143602754214614,0.10134208138325333,0.1687705542500239,0.10178044259780898,334.75
union_all,0.2,parc,0.003814204903498084,0.005682429921032039,0.7658342397499923,0.4741345763722485,334.75
union_all,0.3,dependency_truth,0.007517850258112125,0.009363762096701075,0.6950138965000505,0.4346877603859363,334.75
union_all,0.3,iterative_truth,0.10813996142894722,0.030147288298358308,0.5018998667500156,0.31692174802438927,334.75
union_all,0.3,majority,0.3052339075449304,0.07178236769540958,0.21682637949996314,0.11284940848079189,334.75
union_all,0.3,no_repair,1.383813833494903,0.07672922220572673,0.15540127274997667,0.075254433571055,334.75
union_all,0.3,parc,0.0074567248340109,0.009417484372556158,0.7601197212499855,0.47857702016715575,334.75
window_ranked_groups,0.2,dependency_truth,0.003470805701633496,0.004870702324316273,0.6930259090000064,0.41755071437750335,334.75
window_ranked_groups,0.2,iterative_truth,0.026196947997690727,0.009589669479854578,0.5344969049999762,0.3185097825433393,334.75
window_ranked_groups,0.2,majority,0.0508811166415771,0.017673278331136234,0.20836743600003158,0.12903344045039614,334.75
window_ranked_groups,0.2,no_repair,1.0966885710170593,0.09603492651684443,0.1687705542500239,0.10178044259780898,334.75
window_ranked_groups,0.2,parc,0.003814204903498084,0.005682429921032039,0.7658342397499923,0.4741345763722485,334.75
window_ranked_groups,0.3,dependency_truth,0.007517850258112125,0.009363762096701075,0.6950138965000505,0.4346877603859363,334.75
window_ranked_groups,0.3,iterative_truth,0.10813996142894722,0.030147288298358308,0.5018998667500156,0.31692174802438927,334.75
window_ranked_groups,0.3,majority,0.3037911241433017,0.07052066027969424,0.21682637949996314,0.11284940848079189,334.75
window_ranked_groups,0.3,no_repair,1.3612794920760107,0.07186558044222191,0.15540127274997667,0.075254433571055,334.75
window_ranked_groups,0.3,parc,0.0074567248340109,0.009417484372556158,0.7601197212499855,0.47857702016715575,334.75
